Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
11,478,Czy w tej sytuacji nadawany sygnał świetlny oznacza  że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?,,,,Tak,066D16_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm478.webm,,,,Does the traffic light displayed in this situation denote that when turning right there is no collision with other road users?,,,,Bedeutet das in der dargestellten Situation gegebene Leuchtsignal  dass es bei der Fahrt nach rechts keine Gefahr mehr gibt  mit anderen Verkehrsteilnehmern zu kollidieren?,,,,Чи у цій ситуації сигнал світлофора означає  що Ви не зіткнетеся з іншими учасниками дорожнього руху  якщо будете повертати вправо?,,,,"<img src=""066D16_a_org.jpg"">"
12,480,Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?,,,,Nie,IMG_0325_9550d5_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm480.webm,,,,Does the traffic light displayed in this situation allow you to drive beyond the traffic light post?,,,,Erlaubt das gegebene Leuchtsignal die Weiterfahrt hinter der Ampel?,,,,Чи дозволяє в цій ситуації сигнал світлофора в'їжджати на перехрестя за світлофор?,,,,"<img src=""IMG_0325_9550d5_a_org.jpg"">"
13,486,Czy w tej sytuacji wolno Ci skręcić w prawo  jeśli nie spowodujesz tym utrudnienia ruchu?,,,,Nie,0084D18_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm486.webm,,,,Are you allowed to turn right in this situation if you do not cause impediments to traffic?,,,,Darf man in der dargestellten Situation rechts abbiegen  sofern man den Straßenverkehr nicht behindert?,,,,Чи дозволяється Вам повернути вправо у цій ситуації  за умови  що Ви не створюєте перешкоду для інших транспортних засобів?,,,,"<img src=""0084D18_a_org.jpg"">"
14,544,Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu  gdy zamierzasz jechać na wprost?,,,,Tak,IMG_9324_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm544.webm,,,,Are you allowed in this situation to change the lane you are taking when you intend to go straight?,,,,Darf man in der dargestellten Situation die von dir besetzte Fahrbahn wechseln  wenn man die Absicht hat  geradeaus zu fahren?,,,,Чи можете Ви в цій ситуації змінити смугу руху  якщо маєте намір їхати прямо?,,,,"<img src=""IMG_9324_org.jpg"">"
15,589,Czy na tej drodze możesz spodziewać się rowerzystów nadjeżdżających z przeciwka?,,,,Tak,4152D15Xorg.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm589.webm,,,,Can you expect cyclists coming from the opposite direction on this road?,,,,Kannst du auf dieser Straße damit rechnen  dass aus entgegengesetzter Richtung Fahrradfahrer kommen?,,,,Чи можна на цій дорозі сподіватися велосипедистів з протилежного напрямку?,,,,"<img src=""4152D15Xorg.jpg"">"
16,591,Czy w tej sytuacji wolno Ci wjechać na pas ruchu po lewej stronie?,,,,Nie,4170D15_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm591.webm,,,,Are you allowed in this situation to drive onto the lane on the left?,,,,Darf man in der dargestellten Situation auf die Fahrbahn auf der linken Seite einfahren?,,,,Чи дозволяється Вам у цій ситуації в'їхати на смугу руху зліва?,,,,"<img src=""4170D15_a_org.jpg"">"
17,595,Czy ten znak poziomy wyznacza miejsce bezwzględnego zatrzymania się  nawet w sytuacji  gdy z żadnej ze stron nie nadjeżdża pojazd?,,,,Tak,D16_01_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm595.webm,,,,Does this horizontal sign define a place of obligatory stop  even if there is no vehicle approaching from either side?,,,,Bestimmt dieses horizontale Zeichen die Stelle  wo obligatorisch anzuhalten ist  sogar in einer solchen Situation  in der aus keiner Richtung ein Fahrzeug kommt?,,,,Чи визначає цей горизонтальний знак місце обов’язкової зупинки  навіть якщо з жодної зі сторін не наближається транспортний засіб?,,,,"<video src=""D16_01_org.webm"" controls>"
18,599,"Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w związku ze znakiem ""stop""?",,,,Nie,D16_05_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm599.webm,,,,"Does this dashed line in this situation indicate a place to stop because of the ""stop"" sign?",,,,"Bestimmt in der dargestellten Situation die sichtbare gestrichelte Linie die Stelle  wo das Fahrzueg im Zusammenhang mit dem Zeichen ""Stopp"" angehalten werden soll?",,,,Чи у цій ситуації переривчата лінія визначає місце Вашої зупинки у зв’язку зі знаком STOP?,,,,"<video src=""D16_05_org.webm"" controls>"
19,600,"Czy ta linia ciągła wyznacza Ci miejsce zatrzymania pojazdu w związku ze znakiem ""stop""?",,,,Tak,D16_06_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm600.webm,,,,"Does this solid line in this situation indicate a place to stop because of the ""stop"" sign?",,,,"Bestimmt die durchgezogene Linie die Stelle  wo das Fahrzeug im Zusammenhang mit dem Zeichen ""Stopp"" angehalten werden soll?",,,,Чи ця суцільна лінія визначає місце Вашої зупинки у зв’язку зі знаком STOP?,,,,"<video src=""D16_06_org.webm"" controls>"
20,610,Zamierzasz zawrócić na tym skrzyżowaniu. Czy zajmujesz właściwy pas ruchu?,,,,Tak,MM_D14_15_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm610.webm,,,,You intend to make a U-turn at this intersection. Are you taking the proper lane?,,,,Sie haben vor  an dieser Kreuzung zu wenden. Befinden Sie sich auf der richtigen Fahrspur?,,,,Ви збираєтеся розвернутися на цьому перехресті. Чи правильно Ви вибрали смугу руху?,,,,"<video src=""MM_D14_15_org.webm"" controls>"
21,612,Skręcasz w lewo na skrzyżowaniu. Czy po wjechaniu na jezdnię poprzeczną znaki poziome pozwalają Ci zająć pas ruchu przy prawej krawędzi jezdni?,,,,Tak,MM_D14_17_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,You are turning left at the intersection. After entering the crosswise road  do the horizontal signs allow you to take the lane by the right edge of the roadway?,,,,Sie biegen in der Kreuzung links ab. Erlauben die Fahrbahnmarkierungen  nachdem Sie auf die Querfahrbahn eingefahren sind  die rechte Fahrspur an der Fahrbahnkante in Anspruch zu nehmen?,,,,Ви повертаєте ліворуч на перехресті. Чи після того  як Ви здійснили маневр повороту вліво  горизонтальна розмітка дозволяє Вам зайняти праву крайню смугу?,,,,"<video src=""MM_D14_17_org.webm"" controls>"
22,617,Czy w tym miejscu wolno Ci skręcić w lewo i wjechać na stację paliw?,,,,Nie,MM_D14_24_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm617.webm,,,,Are you allowed in this place to turn left and drive into the petrol station?,,,,Darf man an dieser Stelle links abbiegen und auf die Tankstelle einfahren?,,,,Чи Вам можна у цьому місці повернути вліво і в'їхати на заправку?,,,,"<video src=""MM_D14_24_org.webm"" controls>"
23,621,Czy widoczna linia złożona z trójkątów wskazuje Ci miejsce zatrzymania pojazdu w celu ustąpienia pierwszeństwa?,,,,Tak,MM_D14_29_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm621.webm,,,,Does the line composed of triangles indicate the place to stop your vehicle in order to give the right of way?,,,,Zeigt die  dargestellte  aus Dreiecken bestehende Linie die Stelle an  wo man anhalten muss  um die Vorfahrt zu gewähren?,,,,Чи розмітка у вигляді трикутників позначає місце  де Ви повинні зупинитися у разі потреби і дати дорогу транспортним засобам  що мають перевагу у русі перед Вами?,,,,"<video src=""MM_D14_29_org.webm"" controls>"
24,623,Czy w tym miejscu możesz skręcić w lewo  na parking?,,,,Nie,MM_D14_34_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you allowed to turn left to the parking space in the place marked in such a way?,,,,Darf man an der so markierten Stelle links  auf den Parkplatz abbiegen?,,,,Чи дозволено Вам повернути вліво на парковку в цьому місці?,,,,"<video src=""MM_D14_34_org.webm"" controls>"
25,624,Zamierzasz odpocząć. Czy w tym miejscu możesz skręcić w lewo  na parking?,,,,Nie,MM_D14_38_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm624.webm,,,,You intend to take a rest. Are you allowed in this place to turn left to the parking space?,,,,Sie haben vor  zu rasten. Darf man an dieser Stelle links  zum Parkplatz abbiegen?,,,,Ви збираєтеся відпочити. Чи Ви можете повернути тут вліво  на парковку?,,,,"<video src=""MM_D14_38_org.webm"" controls>"
26,626,Czy w tej sytuacji wolno Ci skręcić w lewo z zajmowanego przez Ciebie pasa ruchu?,,,,Nie,MM_D14_42_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm626.webm,,,,Are you allowed to turn left from the lane you are occupying?,,,,Darf man an dieser Stelle von dem in Anspruch genommenen Fahrstreifen links abbiegen?,,,,Чи дозволено Вам повертати ліворуч зі своєї смуги в даній ситуації?,,,,"<video src=""MM_D14_42_org.webm"" controls>"
27,627,Czy w tym miejscu wolno Ci wjechać na pas ruchu przeznaczony dla pojazdów jadących w przeciwnym kierunku?,,,,Nie,0445D14MM_aorgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm627.webm,,,,Are you allowed to drive onto the lane designated to vehicles driving in the opposite direction?,,,,Darf man an dieser Stelle auf den Fahrstreifen kommen  der für Fahrzeuge bestimmt ist  die in der entgegengesetzten Richtung fahren?,,,,Чи у цьому місці Ви можете в'їхати на смугу для транспортних засобів  що рухаються в протилежному напрямку?,,,,"<img src=""0445D14MM_aorgbm.jpg"">"
28,630,Czy w tym miejscu  bezpośrednio przed przejściem dla pieszych  wolno Ci zmienić pas ruchu?,,,,Nie,D10MM_3org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm630.webm,,,,Are you allowed in this place  directly in front of the pedestrian crossing to  change the lane?,,,,Darf man an der Stelle  die zu sehen ist  direkt vor dem Fußgängerübergang  die Fahrspur wechseln?,,,,Чи у цьому місці  безпосередньо перед пішохідним переходом  Вам дозволяється змінити смугу руху?,,,,"<video src=""D10MM_3org.webm"" controls>"
29,632,Czy widoczny znak poziomy w kształcie trójkąta potwierdza ostrzeżenie o skrzyżowaniu z drogą z pierwszeństwem?,,,,Tak,D10MM_10org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm632.webm,,,,Does this horizontal triangular sign confirm the warning of an intersection with the main road?,,,,Bestätigt die gezeigte Fahrbahnmarkierung in Form eines Dreiecks die Warnung vor einer Kreuzung mit Vorfahrtsstraße?,,,,Чи горизонтальна розмітка у вигляді трикутника попереджає про перехрестя з дорогою з пріоритетним рухом (з головною дорогою)?,,,,"<video src=""D10MM_10org.webm"" controls>"
30,637,Czy w tej sytuacji wolno Ci wjechać na sąsiedni prawy pas ruchu?,,,,Tak,D10MM_22org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm637.webm,,,,Are you allowed in this situation to drive onto the adjacent right lane?,,,,Darf man in der dargestellten Situation auf die benachbarte rechte Fahrspur einfahren?,,,,Чи можна в цій ситуації виїжджати на сусідню праву смугу руху?,,,,"<video src=""D10MM_22org.webm"" controls>"
31,639,Czy widoczna poprzeczna linia przerywana wyznacza miejsce warunkowego zatrzymania pojazdu?,,,,Tak,D10MM_7org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm639.webm,,,,Does this crosswise dashed line indicate the place for conditional stopping of the vehicle?,,,,Bestimmt die sichtbare gestrichelte Querlinie die Stelle  wo das Fahrzeug bedingt angehalten  werden soll?,,,,Чи поперечна переривчаста лінія горизонтальної розмітки означає місце умовної зупинки транспортного засобу?,,,,"<video src=""D10MM_7org.webm"" controls>"
32,748,Czy w tej sytuacji masz prawo wyprzedzać samochód ciężarowy?,,,,Tak,048D15_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you allowed to overtake the articulated vehicle in this situation?,,,,Darf man in dieser Situation den LkW überholen?,,,,Чи дозволяється Вам обганяти вантажівку в цій ситуації?,,,,"<img src=""048D15_a_org.jpg"">"
33,770,Planujesz skręcić w lewo  a kierujący pojazdem z przeciwka ma zamiar jechać na wprost. Czy masz przed nim pierwszeństwo?,,,,Nie,KW_D22_417_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm770.webm,,,,You plan to turn left and the driver of the oncoming vehicle intends to follow the road ahead. Have you got priority over them?,,,,Sie planen  links abzubiegen und das entgegenkommende Fahrzeug hat es vor  geradeaus zu fahren. Haben Sie die Vorfahrt vor ihm?,,,,Ви плануєте повернути ліворуч  а зустрічний водій має намір їхати прямо. Чи Ви маєте перевагу в русі перед ним?,,,,"<video src=""KW_D22_417_org.webm"" controls>"
34,771,Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa wszystkim pojazdom znajdującym się na skrzyżowaniu?,,,,Tak,KW_D22_418_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm771.webm,,,,You intend to turn left. Are you obliged to yield the right-of-way to all vehicles at the junction?,,,,Sie haben es vor  links abzubiegen. Sind Sie dazu verpflichtet  allen Fahrzeugen  die sich auf der Kreuzung befinden  Vorfahrt zu geben?,,,,Ви маєте намір повернути ліворуч. Чи зобов'язані Ви дати дорогу всім транспортним засобам  що знаходяться на перехресті?,,,,"<video src=""KW_D22_418_org.webm"" controls>"
35,773,Zamierzasz jechać na wprost  a motocyklista chce skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?,,,,Tak,KW_D22_419_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm773.webm,,,,You are intend to go straight on and the motorcyclist intends to turn left. Do you have to yield the right of way to him?,,,,Sie planen  geradeaus zu fahren und der Kraftradführer hat es vor  links abzubiegen. Haben Sie die Pflicht  ihm die Vorfahrt zu geben?,,,,Ви маєте намір їхати прямо  а мотоцикліст хоче повернути ліворуч. Чи зобов'язані Ви уступити йому дорогу?,,,,"<video src=""KW_D22_419_org.webm"" controls>"
36,774,Zamierzasz jechać na wprost  a kierujący pojazdem  jadącym z naprzeciwka  chce skręcić w lewo. Czy masz przed nim pierwszeństwo?,,,,Nie,KW_D22_419_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm774.webm,,,,You intend to go straight on and the driver of the oncoming vehicle intends to turn left. Do you have the right of way over him?,,,,Sie planen  geradeaus zu fahren und das entgegenkommende Fahrzeug hat es vor  links abzubiegen. Haben Sie die Vorfahrt vor ihm?,,,,Ви збираєтеся їхати прямо  а водій транспортного засобу  що рухається з протилежного боку  хоче повернути вліво. Чи маєте Ви перевагу у русі перед ним ?,,,,"<video src=""KW_D22_419_org.webm"" controls>"
37,788,Zostałeś właśnie wyprzedzony przez pojazd widoczny przed Tobą. Czy bezpośrednio po wyprzedzeniu wolno Ci zwiększyć prędkość?,,,,Nie,D26_026org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm788.webm,,,,You have just been overtaken by the vehicle in front of you. Are you allowed to increase your speed immediately after being overtaken?,,,,Sie  wurden bereits durch das vorausfahrende Fahrzeug überholt.  Dürfen Sie direkt  nachdem Sie überholt wurden  die Geschwindigkeit erhöhen?,,,,Вас щойно обігнав транспортний засіб  який Ви зараз бачите перед собою. Чи одразу після обгону Ви маєте право збільшити швидкість?,,,,"<img src=""D26_026org.jpg"">"
38,799,Czy w tej sytuacji  wykonując manewr omijania  masz obowiązek zatrzymać się w razie potrzeby?,,,,Tak,D24_AK110org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm799.webm,,,,Are you obliged to stop when the need be while passing the stationary obstacle?,,,,Soll man in dieser Situation beim Umfahren je nach Bedarf anhalten?,,,,Чи в цій ситуації  виконуючи маневр об'їзду (обминання)  Ви зобов’язані затриматися у разі потреби?,,,,"<video src=""D24_AK110org.webm"" controls>"
39,809,Czy w tej sytuacji  podczas omijania  masz obowiązek zachować szczególną ostrożność?,,,,Tak,D24_AK120org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm809.webm,,,,Do you have to exercise particular caution when passing a stationary object in this situation?,,,,Soll man in dieser Situation beim Umfahren besonders vorsichtig sein?,,,,Чи в цій ситуації  під час маневру об'їзду (обминання)  Ви повинні бути особливо обережними?,,,,"<video src=""D24_AK120org.webm"" controls>"
40,869,Czy widoczna linia wskazuje miejsce obowiązkowego zatrzymania się przed wjazdem na skrzyżowanie?,,,,Tak,D16_01_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Does this line indicate the place you must stop before entering the intersection?,,,,Zeigt diese Linie diese Stelle an  an der obligatorisch vor dem Einfahren in die Kreuzung anzuhalten ist?,,,,Чи вказує лінія  яку Ви бачите  місце де Ви повинні зупинитися перед в'їздом на перехрестя?,,,,"<video src=""D16_01_org.webm"" controls>"
41,870,Czy widoczna linia wskazuje miejsce zatrzymania  które zapewnia Ci najlepszą widoczność na skrzyżowaniu?,,,,Tak,D16_01_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Does this line indicate the stop spot that ensures the best visibility at the intersection?,,,,Zeigt die dargestellte Linie diese Anhaltstelle an  woher man die besten Sichtverhältnisse in der Kreuzung hat?,,,,Чи вказує лінія  яку Ви бачите  на місце зупинки  яке забезпечить Вам найкращу оглядовість на перехресті?,,,,"<video src=""D16_01_org.webm"" controls>"
42,872,Czy masz obowiązek zatrzymać się w wyznaczonym linią miejscu  nawet wtedy  gdy upewniłeś się  że drogą z pierwszeństwem przejazdu nie poruszają się inne pojazdy?,,,,Tak,D16_01_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you obliged to stop in the indicated place even when you have made sure that there are no other vehicles driving on the main road?,,,,Hat man die Pflicht an der markierten Stelle sogar dann anzuhalten  wenn man sich vergewissert hast  dass sich auf der Vorfahrtsstraße keine anderen Fahrzeuge bewegen?,,,,Чи зобов'язані Ви зупинитися в місці  позначеному лінією  навіть якщо Ви переконалися  що на дорозі з першочерговим рухом  немає інших транспортних засобів?,,,,"<video src=""D16_01_org.webm"" controls>"
43,874,Czy w miejscu wyznaczonym przez widoczną linię przystankową wolno zatrzymywać się pojazdom przewożącym dzieci do szkół i przedszkoli?,,,,Tak,W4(23 54 80)org.webm,D D1,,,,,Are vehicles  which carry children to schools and pre-schools allowed to stop in the place marked by this bus stop line?,,,,Dürfen an der Stelle  die mit der sichtbaren Haltestellelinie abgesteckt ist  Fahrzeuge anhalten  die Kinder in die Schulen und Kindergärten befördern?,,,,,,,,"<video src=""W4(23 54 80)org.webm"" controls>"
44,884,Czy w tej sytuacji wolno Ci wjechać na pas ruchu przy prawej krawędzi jezdni?,,,,Tak,MM_D14_09_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you allowed in this situation to drive onto the lane by the right edge of the road?,,,,Darf man in der dargestellten Situation auf die Fahrspur einfahren  die sich am rechten Straßenrand befindet?,,,,Чи можна Вам у цій ситуації в'їхати на крайню праву смугу руху?,,,,"<video src=""MM_D14_09_org.webm"" controls>"
45,891,Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do jednego niebezpiecznego zakrętu w prawo?,,,,Tak,IMG_0345d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you warned in this situation of a single dangerous bend to the right?,,,,Wirst du in der dargestellten Situation vor einer gefährlichen Einzelkurve rechts gewarnt?,,,,Чи у наведеній ситуації Вас попереджують про те  що Ви наближаєтеся до одного небезпечного повороту вправо?,,,,"<img src=""IMG_0345d8org.jpg"">"
46,892,Czy w przedstawionej sytuacji jesteś ostrzegany o kilku niebezpiecznych zakrętach w lewo?,,,,Nie,1814D15org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm892.webm,,,,Are you warned in this situation of a few dangerous bends to the left?,,,,Wirst du in der dargestellten Situation vor mehreren Linkskurven gewarnt?,,,,Чи у наведеній ситуації Вас попереджують про те  що Ви наближаєтеся до декількох небезпечних поворотів вліво?,,,,"<img src=""1814D15org.jpg"">"
47,893,Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach?,,,,Nie,A-3 zT-4org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm893.webm,,,,Are you warned in this situation of two dangerous bends?,,,,Wirst du in der dargestellten Situation vor zwei gefährlichen Kurven gewarnt?,,,,Чи у наведеній ситуації Вас попереджають про два небезпечні повороти?,,,,"<img src=""A-3 zT-4org.jpg"">"
48,894,Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach  z których pierwszy jest w lewo?,,,,Tak,A-4 (5)org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm894.webm,,,,Are you warned in this situation of two dangerous bends  the first to the left?,,,,Wirst du in der dargestellten Situation vor zwei gefährlichen Kurven  von denen die erste eine Linkskurve ist  gewarnt?,,,,Чи у наведеній ситуації Вас попереджують про два небезпечні повороти  перший з яких - вліво?,,,,"<img src=""A-4 (5)org.jpg"">"
49,898,Czy w tej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania  na którym pierwszeństwo przejazdu nie jest określone przy pomocy znaków drogowych?,,,,Tak,A-5 (3)org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm898.webm,,,,Are you warned in this situation of an intersection where there are no right of way signs?,,,,Wirst du in der dargestellten Situation vor einer Kreuzung gewarnt  auf der die Vorfahrtskennzeichnung ausbleibt?,,,,Чи у наведеній ситуації Вас попереджують про те  що Ви наближаєтесь до перехрестя  першочерговість проїзду якого не визначена дорожніми знаками?,,,,"<img src=""A-5 (3)org.jpg"">"
50,904, Czy w tej sytuacji należy rozpocząć hamowanie?,,,,Tak,D24_20org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm904.webm,,,,Should you begin braking your vehicle in this situation?,,,,Soll man in der dargestellten Situation mit dem Ausbremsen des Fahrzeuges anfangen?,,,,Чи потрібно починати гальмувати в цій ситуації?,,,,"<video src=""D24_20org.webm"" controls>"
